,name,id,artist,artist_id,popularity,release_date,season
168,New Flesh,6HJxxqHWMdidwTVZmZWeHU,Current Joys,0m5FakHKCQdA7UN0PIzMcL,72,2013-01-02,summer
169,Borderline,5hM5arv9KDbCHS0k9uqwjr,Tame Impala,5INjqkS1o8h1imAzPqGZBb,80,2020-02-14,summer
170,Into It,4HwDCXsMBC7SUdp2WT4MZP,Chase Atlantic,7cYEt1pqMgXJdq00hAwVpT,79,2017-10-04,summer
171,Summertime Sadness,1FEiijYPJtyswChfcpv3p0,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,61,2011-01-01,summer
172,Time to Pretend,4iG2gAwKXsOcijVaVXzRPW,MGMT,0SwO7SWeDHJijQ3XNS7xEE,75,2007-12-14,summer
173,We Are The People,3zEN0ii6s4DHHBpnTp3RP7,Empire Of The Sun,67hb7towEyKvt5Z8Bx306c,76,2008-10-03,summer
174,Runaway,3DK6m7It6Pw857FcQftMds,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,81,2010-11-22,summer
175,No Fear,2H881m3JRA8lpuuwaQL6zy,DeJ Loaf,7kFfY4UjNdNyaeUgLIEbIF,71,2017-06-16,summer
176,Pink + White,3xKsf9qdS1CyvXSMEid6g8,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,87,2016-08-20,summer
177,Lost,3GZD6HmiNUhxXYf8Gch723,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,81,2012-07-10,summer
178,Never Be Like You (feat. Kai),5WI2ltQIdwgzf1SNE76JyR,Flume,6nxWCVXbOlEVRexSbLsTer,49,2016-05-27,summer
179,The Adults Are Talking,5ruzrDWcT0vuJIOMW7gMnW,The Strokes,0epOFNiUfyON9EYx7Tpr6V,78,2020-04-10,summer
180,Freaks,7EkWXAI1wn8Ii883ecd9xr,Surf Curse,1gl0S9pS0Zw0qfa14rDD3D,84,2021-05-15,summer
181,You've Got the Heat,6W8dxNDiw2DZKsgvBk6Cfs,Luster,79BImQsuJ70xKbfyKG4ZzD,0,2017-06-16,summer
182,1901,1Ug5wxoHthwxctyWTUMGta,Phoenix,1xU878Z1QtBldR7ru9owdU,71,2009-05-25,summer
